Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,school_slug,season,scraped_at
19,19,2025-01-18,@,Eastern Kentucky,REG (Conf),L,69,72,,23,47,.489,9,15,.600,14,32,.438,.585,14,19,.737,5,20,25,13,3,1,16,21,23,50,.460,7,24,.292,16,26,.615,.530,19,22,.864,5,17,22,10,12,6,9,20,bellarmine,2025,2025-12-27 22:48:12
20,20,2025-01-23,,Florida Gulf Coast,REG (Conf),L,61,77,,23,61,.377,7,27,.259,16,34,.471,.434,8,10,.800,8,21,29,10,4,1,5,9,30,56,.536,13,27,.481,17,29,.586,.652,4,6,.667,4,29,33,20,5,0,5,10,bellarmine,2025,2025-12-27 22:48:12
21,21,2025-01-25,,Stetson,REG (Conf),L,76,81,,27,61,.443,14,33,.424,13,28,.464,.557,8,10,.800,3,21,24,18,4,3,7,25,24,51,.471,9,23,.391,15,28,.536,.559,24,30,.800,8,30,38,13,1,2,11,11,bellarmine,2025,2025-12-27 22:48:12
22,22,2025-01-30,@,Austin Peay,REG (Conf),L,77,86,OT,27,63,.429,7,22,.318,20,41,.488,.484,16,21,.762,8,22,30,6,6,1,8,23,27,60,.450,8,27,.296,19,33,.576,.517,24,33,.727,13,29,42,14,3,1,12,16,bellarmine,2025,2025-12-27 22:48:12
23,23,2025-02-01,@,Lipscomb,REG (Conf),L,80,87,,33,56,.589,6,20,.300,27,36,.750,.643,8,9,.889,2,20,22,7,8,0,12,24,25,46,.543,11,27,.407,14,19,.737,.663,26,33,.788,3,21,24,15,8,1,9,11,bellarmine,2025,2025-12-27 22:48:12
24,24,2025-02-06,@,North Florida,REG (Conf),L,88,95,,34,68,.500,11,30,.367,23,38,.605,.581,9,14,.643,6,14,20,22,12,1,8,18,28,55,.509,12,28,.429,16,27,.593,.618,27,28,.964,10,26,36,16,5,4,17,15,bellarmine,2025,2025-12-27 22:48:12
25,25,2025-02-08,@,Jacksonville,REG (Conf),L,64,73,,22,48,.458,8,22,.364,14,26,.538,.542,12,15,.800,4,19,23,9,6,1,11,19,25,53,.472,8,23,.348,17,30,.567,.547,15,20,.750,7,22,29,19,7,2,10,16,bellarmine,2025,2025-12-27 22:48:12
26,26,2025-02-13,,Queens (NC),REG (Conf),L,87,92,OT,31,65,.477,9,24,.375,22,41,.537,.546,16,22,.727,8,19,27,14,12,4,7,22,30,52,.577,9,22,.409,21,30,.700,.663,23,31,.742,4,26,30,19,5,5,13,19,bellarmine,2025,2025-12-27 22:48:12
27,27,2025-02-15,,West Georgia,REG (Conf),L,76,81,,30,64,.469,12,30,.400,18,34,.529,.563,4,6,.667,7,19,26,18,5,4,10,20,23,49,.469,10,22,.455,13,27,.481,.571,25,31,.806,6,25,31,13,5,3,10,12,bellarmine,2025,2025-12-27 22:48:12
28,28,2025-02-18,,Austin Peay,REG (Conf),W,94,68,,36,58,.621,10,19,.526,26,39,.667,.707,12,17,.706,2,27,29,19,4,2,6,16,20,59,.339,11,32,.344,9,27,.333,.432,17,22,.773,7,22,29,12,2,5,10,17,bellarmine,2025,2025-12-27 22:48:12
29,29,2025-02-20,,Eastern Kentucky,REG (Conf),W,80,74,,27,50,.540,8,20,.400,19,30,.633,.620,18,24,.750,4,30,34,17,5,1,11,16,24,66,.364,11,37,.297,13,29,.448,.447,15,17,.882,11,20,31,16,8,0,6,20,bellarmine,2025,2025-12-27 22:48:12
30,30,2025-02-24,@,Stetson,REG (Conf),L,67,69,,24,55,.436,11,27,.407,13,28,.464,.536,8,10,.800,4,16,20,15,12,3,10,17,24,49,.490,6,21,.286,18,28,.643,.551,15,18,.833,4,25,29,13,8,2,13,11,bellarmine,2025,2025-12-27 22:48:12
31,31,2025-02-26,@,Florida Gulf Coast,REG (Conf),L,61,80,,24,53,.453,7,24,.292,17,29,.586,.519,6,9,.667,3,16,19,9,6,1,8,12,32,65,.492,13,26,.500,19,39,.487,.592,3,7,.429,14,25,39,16,5,0,11,7,bellarmine,2025,2025-12-27 22:48:12
