Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,school_slug,season,scraped_at
20,20,2025-01-18,@,Wagner,REG (Conf),W,69,65,,20,41,.488,6,15,.400,14,26,.538,.561,23,27,.852,4,15,19,9,8,1,11,24,18,43,.419,4,15,.267,14,28,.500,.465,25,29,.862,8,19,27,13,6,0,15,25,mercyhurst,2025,2025-12-27 22:54:38
21,21,2025-01-20,@,LIU,REG (Conf),L,63,72,OT,20,56,.357,8,19,.421,12,37,.324,.429,15,17,.882,5,18,23,12,9,1,13,14,25,51,.490,8,18,.444,17,33,.515,.569,14,18,.778,8,25,33,16,10,6,20,17,mercyhurst,2025,2025-12-27 22:54:38
22,22,2025-01-24,,Wagner,REG (Conf),W,71,66,,24,48,.500,9,25,.360,15,23,.652,.594,14,16,.875,3,17,20,18,1,2,6,11,24,55,.436,10,24,.417,14,31,.452,.527,8,14,.571,14,17,31,12,3,0,11,15,mercyhurst,2025,2025-12-27 22:54:38
23,23,2025-01-26,,LIU,REG (Conf),W,85,80,2OT,26,67,.388,9,20,.450,17,47,.362,.455,24,26,.923,9,17,26,22,8,1,13,17,27,59,.458,7,26,.269,20,33,.606,.517,19,27,.704,9,26,35,14,7,7,21,24,mercyhurst,2025,2025-12-27 22:54:38
24,24,2025-01-30,,Saint Francis (PA),REG (Conf),W,62,58,,22,57,.386,5,24,.208,17,33,.515,.430,13,17,.765,6,29,35,11,8,3,8,17,21,54,.389,7,28,.250,14,26,.538,.454,9,17,.529,8,28,36,6,4,1,13,18,mercyhurst,2025,2025-12-27 22:54:38
25,25,2025-02-01,@,FDU,REG (Conf),W,67,60,,22,52,.423,7,18,.389,15,34,.441,.490,16,21,.762,6,17,23,16,10,1,9,16,22,48,.458,5,20,.250,17,28,.607,.510,11,15,.733,6,27,33,9,8,1,15,22,mercyhurst,2025,2025-12-27 22:54:38
26,26,2025-02-06,@,Chicago State,REG (Conf),L,78,85,,29,57,.509,7,17,.412,22,40,.550,.570,13,16,.813,7,24,31,14,8,0,14,20,27,59,.458,8,23,.348,19,36,.528,.525,23,29,.793,8,20,28,14,8,4,12,18,mercyhurst,2025,2025-12-27 22:54:38
27,27,2025-02-08,,Le Moyne,REG (Conf),W,82,78,,27,56,.482,12,26,.462,15,30,.500,.589,16,16,1.000,4,19,23,24,7,0,5,16,27,49,.551,13,26,.500,14,23,.609,.684,11,14,.786,4,23,27,15,2,1,16,19,mercyhurst,2025,2025-12-27 22:54:38
28,28,2025-02-13,@,Central Connecticut State,REG (Conf),L,63,73,,26,57,.456,5,24,.208,21,33,.636,.500,6,8,.750,5,17,22,11,6,0,11,14,28,53,.528,8,21,.381,20,32,.625,.604,9,13,.692,7,25,32,21,6,2,15,8,mercyhurst,2025,2025-12-27 22:54:38
29,29,2025-02-15,@,Stonehill,REG (Conf),L,73,85,,23,53,.434,6,12,.500,17,41,.415,.491,21,27,.778,8,12,20,10,3,0,6,20,30,54,.556,8,22,.364,22,32,.688,.630,17,20,.850,8,25,33,15,3,4,6,20,mercyhurst,2025,2025-12-27 22:54:38
30,30,2025-02-20,,FDU,REG (Conf),W,65,60,,21,55,.382,6,18,.333,15,37,.405,.436,17,18,.944,8,20,28,14,10,6,11,17,17,50,.340,10,31,.323,7,19,.368,.440,16,21,.762,8,24,32,11,3,1,16,19,mercyhurst,2025,2025-12-27 22:54:38
31,31,2025-02-27,,Chicago State,REG (Conf),W,90,68,,32,53,.604,15,25,.600,17,28,.607,.745,11,14,.786,4,26,30,20,2,3,11,12,24,59,.407,5,16,.313,19,43,.442,.449,15,17,.882,7,15,22,10,9,1,5,12,mercyhurst,2025,2025-12-27 22:54:38
